"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63
"2",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87
"3",0.9,"Premium","I","VS2",61.9,59,2857,6.2,6.14,3.82
"4",0.31,"Premium","I","VS2",60.8,58,558,4.37,4.34,2.65
"5",0.31,"Premium","I","VS2",59.8,60,558,4.42,4.38,2.63
"6",0.31,"Premium","I","VS2",62.3,57,558,4.35,4.32,2.7
"7",0.31,"Premium","I","VS2",60.8,60,558,4.42,4.37,2.67
"8",0.31,"Premium","I","VS2",59.9,60,558,4.44,4.41,2.65
"9",0.31,"Premium","I","VS2",61.1,58,558,4.38,4.36,2.67
"10",0.31,"Premium","I","VS2",60.7,61,558,4.34,4.32,2.63
"11",0.31,"Premium","I","VS2",62.3,60,558,4.32,4.31,2.69
"12",0.9,"Premium","I","VS2",58.7,60,2923,6.35,6.28,3.7
"13",0.9,"Premium","I","VS2",62.8,61,3246,6.12,6.02,3.81
"14",0.9,"Premium","I","VS2",58.4,62,3276,6.35,6.29,3.69
"15",0.91,"Premium","I","VS2",63,58,3282,6.15,6.07,3.85
"16",0.9,"Premium","I","VS2",63,59,3292,6.1,6.06,3.83
"17",0.9,"Premium","I","VS2",62.6,62,3292,6.13,6.04,3.81
"18",0.9,"Premium","I","VS2",61.2,62,3338,6.19,6.13,3.77
"19",0.91,"Premium","I","VS2",62.4,61,3376,6.18,6.16,3.85
"20",0.9,"Premium","I","VS2",59.1,59,3385,6.28,6.24,3.7
"21",0.9,"Premium","I","VS2",61.9,58,3398,6.18,6.23,3.84
"22",0.9,"Premium","I","VS2",61.8,59,3398,6.15,6.21,3.82
"23",0.9,"Premium","I","VS2",59.8,61,3431,6.22,6.13,3.69
"24",0.9,"Premium","I","VS2",62.4,60,3431,6.16,6.06,3.81
"25",0.9,"Premium","I","VS2",61.6,58,3478,6.15,6.09,3.77
"26",0.9,"Premium","I","VS2",62.4,58,3539,6.16,6.22,3.86
"27",0.91,"Premium","I","VS2",62.7,58,3579,6.14,6.18,3.86
