Kai's Weight Loss Journey,,
Date,Number of Days on Diet,Weight in pounds
03/10/2018,0,173
03/15/18,6,169.4
03/22/18,12,166.21
04/06/18,27,163.68
04/13/18,34,161.15
04/19/18,40,159.28
04/27/18,48,156.97
05/04/18,55,154.99
05/18/18,69,149.82
05/25/18,76,147.07
06/01/18,83,143.44
06/15/18,97,136.4
06/22/18,104,134.75
06/29/18,111,133.43
07/06/18,118,131.34
07/13/18,125,129.03
07/27/18,139,124.74
08/10/18,153,121.22
08/24/18,167,116.6
09/07/18,181,109.23
09/21/18,195,108.02
10/04/18,208,106.37
10/12/18,216,108.6
10/26/18,230,98.45
11/16/18,251,94.71
12/7/18,272,90.97
12/21/18,286,87.6
01/11/19,307,85.36
02/05/19,332,79.4
03/01/19,356,75
