id,year,title,rating,pass
8040,1888,Roundhay Garden Scene,0,0
5433,1892,Pauvre Pierrot,0,0
6200,1895,Execution of Mary. Queen of Scots. The,0,0
5444,1895,Tables Turned on the Gardener,0,0
5406,1896,Une nuit terrible,0,0
5445,1896,La fee aux choux,0,0
6199,1896,Arrival of a Train. The,0,0
4982,1896,House of the Devil. The,0,0
9328,1897,Bataille de neige,0,0
4978,1898,Four Heads Are Better Than One,0,0
5411,1898,Temptation of St. Anthony. The,0,0
5410,1898,Astronomer&#39;s Dream; or. The Man in the Moon. The,0,0
5914,1899,Cinderella,3,1
4994,1899,A Turn of the Century Illusionist,0,0
5438,1900,Let Me Dream Again,0,0
4346,1900,Hamlet ( Le Duel d&#39;Hamlet),0,0
1594,1900,Sherlock Holmes Baffled,0,0
4993,1900,One-Man Band. The,0,0
5069,1900,Grandma Threading Her Needle,0,0
4271,1900,Enchanted Drawing. The,0,0
5072,1900,Searching Ruins on Broadway. Galveston. for Dead Bodies,0,0
4345,1900,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0,0
4344,1900,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0,0
5446,1900,Doctor and the Monkey. The,0,0
4343,1900,Grandma&#39;s Reading Glass,0,0
5437,1901,Reve et realite,0,0
4995,1901,L&#39;homme a la tete en caoutchouc,0,0
5500,1901,Bluebeard,0,0
1252,1902,Le voyage dans la lune,0,0
5443,1902,Mephistopheles&#39; School of Magic,0,0
5432,1902,Twentieth Century Tramp; or. Happy Hooligan and His Airship. The,0,0
5431,1902,Gulliver&#39;s Travels,0,0
1319,1903,Great Train Robbery. The,0,0
5064,1903,Monster. The,0,0
5683,1903,Enchanted Well. The,0,0
5063,1903,Music Lover. The,0,0
5002,1903,Infernal Boiling Pot. The,0,0
5601,1904,Untamable Whiskers. The,0,0
5224,1904,Cook in Trouble. The,0,0
5404,1904,Living Playing Cards. The,0,0
6135,1904,Le voyage a travers l&#39;impossible,0,0
5003,1905,Scheming Gambler&#39;s Paradise. The,0,0
5602,1905,Black Imp. The,0,0
1349,1906,Story of the Kelly Gang. The,1,0
5684,1906,400 Tricks of the Devil. The,0,0
7215,1906,Consequence of Feminism. The,0,0
5603,1906,Hilarious Posters. The,0,0
6206,1906,A Funny Shave,0,0
5435,1906,Humorous Phases of Funny Faces,0,0
5024,1906,Mysterious Retort. The,0,0
5615,1907,Good Glue Sticks,0,0
5223,1907,Eclipse: Courtship of the Sun and Moon. The,0,0
6231,1908,Unusual Cooking,0,0
6211,1909,Le barometre de la fidelite,1,0
